ID,Like,Comment
             Alyanna Hill           ,23000.0,"Oke, BLACKPINK IN YOUR AREA! LUVV U"
             hirelia hirelia           ,1100.0,Lalalisa Manoban is dance queen
             kha nguyen           ,725.0,please vote for BLACKPINK
             Bora Shin           ,23000.0,Blackpink:Rose!Jisoo!Jennie!Lisa!They are so pretty!
             Roselle           ,17000.0,A fan's reflection based on their idols. Hope they'll be proud of you all. I love you
             하지마오윤서           ,20000.0,Let’s appreciate how lit this song is this song went hard
             Naz Polat           ,574.0,"Lisa once said ""Yadom""""Choclatte noodle""""Luis is fat cat""""Ehehe""""More feel""""My name is jichu""""Omg daddy""""Aa park chayeong""""I'm the hottest okay?""turk¡sh blink"
             maengay mercadejas           ,120000.0,"I really like this song, BLACKPINK didn't disappoint us!!"
             Panrudee Nakphuk           ,4300.0,Lisaaa
             Loona Del Rey           ,21000.0,"I want to be that donkey, so I can at least get to meet Lisa"
             Δήμητρα Βλαχονικόλα           ,63000.0,"The outfits, the visuals, the hairstyles, the choreography, everything about this video is just absolutely perfect, I feel that 2020 is their year guys. I mean imagine how the studio album will be if this is just the pre-release single !!"
             Kim Jeon           ,867.0,Funfact: HYLT DANCE PERFORMACE is acting like an mv.
             BlinkTeumeArmy A           ,27000.0,"Lisa’s rap is so coolBy the way blinks let’s vote on Choeaedol  app for Blackpink. Watch ads, collect hearts and vote.:) The voting had begun 14th Oct. We still have loads of time so please make an account and start voting. Thank you :)"
             Rain K           ,22000.0,THIS SONG SLAPPED PERIOD. LOOK AT U NOW LOOK AT ME This is my first comeback with Blackpink and I am BEYOND satisfied
             Az-Zahra _K           ,23000.0,"""Laugh all you want while you still can"" because one day you will be mute with the hatred you have  ;)It's for the haters ^>^"
             Not Rosie But Roseanne           ,35000.0,People be like commenting about STOP SPAMMING and me is here in my bed enjoying the HYLT and appreciating each QUEENS
             Moises Salazar           ,282.0,BLINKS QUE PASO TENEMOS QUE HACER STR44M A NUESTRAS REINAS.SI QUIEREN QUE GANEN LAS ♡CHICAS♡HAGANLO POR ELLAS DEMOSTREMOS EL AMOR DE ELLAS/BLINK FOREVER.
             i'll name my car JYP so i can park jin young           ,12000.0,"Unaswerable question:Who wrote the first ""No one, Absolutely no one"" comment in this MV?And also:WHEN WILL YOU STOP? I WANT TO SEE USEFUL COMMENTS, FULL OF LOVE TO GIRLSEdit: I'm super late, but still, YAAAAAY! There are no more spam comments in this video! Also, these type of comments are very wrong. K-Pop should be a household for everyone, and we shouldn't hate each other, as fandoms that we are."
             Ana Stephanie Zamora           ,47000.0,This is stupid. Real blinks come here to comment on the girls and the music video! Stop spamming the same thing over and over! Blinks report these please!!             (Edit) sorry for the late edit! For those of you that are late we got rid of all those spam comments! And let’s just make this comment section into a positive space where we can enjoy the hard work that our girls did to get us this AMAZING comeback!! There’s no need to be negative. If you don’t like BLACKPINK then don’t comment. Much love to my blinks 🤍
             Ava Alirezaei           ,6600.0,See lisa killin’ it
             tata's dad           ,29000.0,idek what genre to call this but DUNDUNDUND DURN DURN DUR DUN
             Lisa M           ,2000.0,"DO NOT INTERACT WITH HATERS, JUST FOCUS ON BLACKPINK. DO NOT REPLY THEIR COMMENT"
             Destiny C           ,42000.0,"The vocals, visuals, dances and the raps is EVERYTHINGGGGGG"
             nelav yoo           ,2400.0,"0:41 Rosie, you're so cute"
             Rey Golino           ,40000.0,Please report the “No one literally no one” they're trying to freeze the vi3ws spread !!!edit: Thanks for the likes and opinions blinks!keep streaming HYLT and give a positive comment!
             Armie Gragasin           ,35000.0,"Trust me if blackpink go to an award they will win like the speed of lightEdit:thanks for all the likes but you shouldn't fight redvelevet, twice, and bp are friends so we should be friends too"
             Kim Jeon           ,2900.0,"Us Blinks don't need expensive gifts, all we want is BLACKPINK to win SOTY! then work hard and str3am."
             Brenda Sultana           ,2000.0,They've never disappointed us But YG on the other hand..... yeah they suck
             isabelle Rodrigues           ,667.0,Lisa rap omg
